"budget_code_key","cost_code","cost_type","budget_code_description","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04","2026-05","2026-06","2026-07","2026-08","2026-09","2026-10","2026-11"
"1000.10-01-310.LBN","10-01-310","LBN","TROPICAL WORLD NURSERY-CONSTR.ACCOUNTING.Labor Burden","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.54","62.16","140.05","192.73","360.06","261.13","285.72","448.34","311.97","497.12","371.64","248.20","381.52","471.22","386.81","516.17","537.20","466.99","628.28","565.68","575.84","561.75","523.40"
"1000.10-01-311.LAB","10-01-311","LAB","TROPICAL WORLD NURSERY-CONSTR.EXECUTIVE MANAGEMENT.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2423.28","7577.52","9443.08","9294.01","9510.38","7231.36","7485.97","5644.52","5644.52","7401.81","8228.77","11567.88","5096.40","5644.52","11382.45","18028.54","14711.23","10095.95","14615.34","11118.49","15355.10","14019.83","14687.45","14687.45","9477.97"
"1000.10-01-311.LBN","10-01-311","LBN","TROPICAL WORLD NURSERY-CONSTR.EXECUTIVE MANAGEMENT.Labor Burden","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","489.03","1419.06","1933.44","1881.61","1922.22","1460.28","1519.67","1145.54","1145.59","1500.36","1644.65","2169.00","858.15","813.97","2329.11","3728.90","3047.73","2046.13","3057.78","2396.91","3224.78","2903.47","2955.61","2883.27","2686.45"
"1000.10-01-311.MAT","10-01-311","MAT","TROPICAL WORLD NURSERY-CONSTR.EXECUTIVE MANAGEMENT.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","110.20","521.38","4344.66","660.12","593.21","395.06","921.45","584.02","656.92","687.98","858.01","892.59","470.11","999.59","717.50","1179.16","480.11","183.08","0.00","355.33","477.36","449.10","480.16","491.46","482.97"
"1000.10-01-312.LAB","10-01-312","LAB","TROPICAL WORLD NURSERY-CONSTR.SUPERINTENDENT 1.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1346.24","1827.04","0.00","3080.00","0.00","6160.00","16158.40","12424.48","13078.40","16348.00","13078.40","16348.00","18848.00","20771.20","20386.56","3923.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-312.LBN","10-01-312","LBN","TROPICAL WORLD NURSERY-CONSTR.SUPERINTENDENT 1.Labor Burden","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","328.74","446.10","0.00","768.47","0.00","1526.85","4006.35","3080.77","3242.89","4053.60","3242.47","4052.93","4670.96","5147.18","5148.69","964.31","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-312.MAT","10-01-312","MAT","TROPICAL WORLD NURSERY-CONSTR.SUPERINTENDENT 1.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","300.00","0.00","600.00","600.00","600.00","1117.10","1535.25","1049.71","1107.64","1097.51","1178.55","1049.87","1933.53","2148.80","625.48","176.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-314.LAB","10-01-314","LAB","TROPICAL WORLD NURSERY-CONSTR.SUPERINTENDENT 2.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8366.40","21834.72","34344.32","24049.28","27225.44","19815.36","15963.36","11636.00","12405.28","15328.72","14231.36","17404.16","22212.32","25385.60","35674.64","36444.32","35771.20","36347.20","45674.00","35411.34","49118.79","44847.44","46983.17","46983.17","27587.22"
"1000.10-01-314.LBN","10-01-314","LBN","TROPICAL WORLD NURSERY-CONSTR.SUPERINTENDENT 2.Labor Burden","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1690.42","4684.98","8017.26","5451.51","6223.47","4391.27","3310.49","2371.43","2558.75","3155.37","3001.20","3656.22","5053.32","5708.15","8322.00","8438.75","8260.44","8409.89","10565.10","8183.19","11009.58","9912.60","10090.61","9843.64","9171.68"
"1000.10-01-314.MAT","10-01-314","MAT","TROPICAL WORLD NURSERY-CONSTR.SUPERINTENDENT 2.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","74.42","816.45","1476.86","2757.29","1259.01","1572.21","931.79","1089.88","868.84","930.16","872.95","1548.54","1318.15","1717.38","1944.73","2319.64","4888.23","3198.02","3842.23","4048.89","3330.48","4480.80","4034.33","4106.78","4006.27","3732.78"
"1000.10-01-315.LAB","10-01-315","LAB","TROPICAL WORLD NURSERY-CONSTR.ASST SUPERINTENDENT.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3269.60","5693.12","7308.80","7308.80","12502.40","12944.96","6539.20","6539.20","12893.20","6539.20","8174.00","7899.20","6539.20","8174.00","6539.20","6539.20","8424.16","16348.40","15600.92","21546.00","19672.39","20609.22","20609.22","13293.25"
"1000.10-01-315.LBN","10-01-315","LBN","TROPICAL WORLD NURSERY-CONSTR.ASST SUPERINTENDENT.Labor Burden","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","842.97","1450.37","1797.74","1797.47","2845.33","2796.93","1281.23","1281.16","2613.11","1284.43","1606.90","1702.50","1285.52","1660.19","1290.42","1285.51","1658.85","3299.11","2281.10","3068.97","2763.18","2812.80","2743.96","2556.65"
"1000.10-01-315.MAT","10-01-315","MAT","TROPICAL WORLD NURSERY-CONSTR.ASST SUPERINTENDENT.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","525.07","1952.06","1954.57","2168.98","586.21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-317.LAB","10-01-317","LAB","TROPICAL WORLD NURSERY-CONSTR.PROJECT COORDINATOR.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2527.44","7706.43","9034.62","7062.09","7259.24","7101.52","11672.91","10205.52","10424.39","14021.00","9693.60","12270.60","10178.00","9847.20","12309.00","13732.40","13759.40","13345.90","15752.00","12572.79","17300.58","15796.15","16548.35","16548.35","11481.53"
"1000.10-01-317.LBN","10-01-317","LBN","TROPICAL WORLD NURSERY-CONSTR.PROJECT COORDINATOR.Labor Burden","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","536.41","1597.64","1848.62","1392.71","1430.82","1400.28","2434.03","2189.91","2219.99","2862.52","1903.02","2409.14","1997.41","1933.39","2496.83","2698.18","2693.69","2614.84","3087.15","2451.19","3297.81","2969.22","3022.54","2948.56","2747.28"
"1000.10-01-317.MAT","10-01-317","MAT","TROPICAL WORLD NURSERY-CONSTR.PROJECT COORDINATOR.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","50.92","80.00","1000.00","500.00","500.00","500.00","682.58","500.00","500.00","500.00","500.00","682.58","690.28","681.84","668.20","500.00","693.04","500.00","500.00","233.23","499.74","499.74","499.74","499.74","499.76"
"1000.10-01-318.LAB","10-01-318","LAB","TROPICAL WORLD NURSERY-CONSTR.PROJECT MANAGER.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9519.60","12692.80","25098.00","17308.80","12692.80","12692.80","15866.00","12692.80","12692.80","18692.96","13846.40","23462.40","26155.20","26155.20","29232.40","12308.80","6154.40","0.00","7788.96","15105.26","20710.77","18909.82","19810.27","19810.27","14699.05"
"1000.10-01-318.LBN","10-01-318","LBN","TROPICAL WORLD NURSERY-CONSTR.PROJECT MANAGER.Labor Burden","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1918.76","2509.69","5063.03","3441.54","2558.34","2558.34","3197.92","2558.34","2558.34","3752.56","2790.67","4813.42","5345.65","5315.61","6044.28","2506.21","1234.28","0.00","1670.42","619.49","832.23","782.97","837.12","856.81","842.01"
"1000.10-01-318.MAT","10-01-318","MAT","TROPICAL WORLD NURSERY-CONSTR.PROJECT MANAGER.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","672.36","2146.74","1861.21","1867.36","1848.60","1023.05","1097.72","1134.30","1020.92","1727.65","188.82","706.62","1672.92","1519.13","1446.23","1484.90","669.45","600.00","3063.23","635.01","1360.65","1360.65","1360.65","1360.65","1360.67"
"1000.10-01-340.MAT","10-01-340","MAT","TROPICAL WORLD NURSERY-CONSTR.SCHEDULING.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2200.00","1950.00","1950.00","1950.00","2925.00","1950.00","2568.75","1950.00","1950.00","2087.50","0.00","2500.00","3600.00","1950.00","2250.00","4125.00","0.00","0.00","6750.00","7015.58","7446.79","7877.99","6388.56","4899.14","3409.72"
"1000.10-01-422.MAT","10-01-422","MAT","TROPICAL WORLD NURSERY-CONSTR.ENGINEERING.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-460.LAB","10-01-460","LAB","TROPICAL WORLD NURSERY-CONSTR.SAFETY SUPERVISOR.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","105.78","76.94","230.82","307.76","375.04","110.58","757.25","1202.04","3735.82","8563.10","4764.74","4632.08","5482.22","3531.04","3965.74","2440.09","2029.00","1635.70","1050.08","2138.20","2984.28","2724.76","2854.52","2854.52","1442.66"
"1000.10-01-460.LBN","10-01-460","LBN","TROPICAL WORLD NURSERY-CONSTR.SAFETY SUPERVISOR.Labor Burden","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","21.31","15.45","48.05","61.75","75.12","22.11","154.56","251.77","765.06","1760.08","970.45","937.93","1105.35","713.83","814.61","497.67","412.85","333.54","214.32","109.99","147.76","139.02","148.63","152.13","149.50"
"1000.10-01-460.MAT","10-01-460","MAT","TROPICAL WORLD NURSERY-CONSTR.SAFETY SUPERVISOR.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","276.06","99.89","90.44","0.00","0.00","119.43","58.08","308.66","137.49","155.64","732.73","276.06","135.08","54.08","47.41","429.28","504.67","492.02","547.22","765.43","1029.80","927.19","943.84","920.74","857.89"
"1000.10-01-500.MAT","10-01-500","MAT","TROPICAL WORLD NURSERY-CONSTR.FURNITURE.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1556.18","-200.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","233.55","0.00","0.00","1343.04","1343.05","0.00","0.00","0.00","0.00"
"1000.10-01-505.MAT","10-01-505","MAT","TROPICAL WORLD NURSERY-CONSTR.POSTAGE.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.61","19.28","0.00","0.00","0.00","0.00","37.54","24.78","23.94","0.00","0.00","31.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","44.93","42.46","40.00","37.54","0.00","0.00"
"1000.10-01-513.MAT","10-01-513","MAT","TROPICAL WORLD NURSERY-CONSTR.EQUIPMENT FUEL.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","51.64","424.45","1038.28","875.87","923.00","756.47","335.18","879.16","626.65","310.65","382.43","0.00","149.84","218.90","118.64","0.00","0.00","144.24","0.00","131.39","124.19","116.99","109.79","0.00","0.00"
"1000.10-01-517.MAT","10-01-517","MAT","TROPICAL WORLD NURSERY-CONSTR.TELEPHONES.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.99","0.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","117.69","0.00","0.00","0.00","0.00","0.00","178.17","0.00","0.00","167.20","167.20","167.20","167.20","167.20","167.18"
"1000.10-01-520.MAT","10-01-520","MAT","TROPICAL WORLD NURSERY-CONSTR.OFFICE SUPPLIES.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","575.63","87.62","0.00","850.94","1141.83","49.22","0.00","114.60","0.00","299.55","296.08","30.36","276.59","739.62","239.49","322.71","198.48","310.00","203.55","189.18","174.81","160.44","146.08","131.71"
"1000.10-01-521.MAT","10-01-521","MAT","TROPICAL WORLD NURSERY-CONSTR.FIELD OFFICES & SHEDS.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18449.11","4117.09","3481.51","3621.51","3647.36","8179.87","4196.51","3812.36","355.85","7269.70","6453.29","3837.36","6716.27","9497.49","2161.74","1996.66","2161.74","2427.99","3218.78","2671.58","0.00","0.00","0.00","0.00"
"1000.10-01-522.MAT","10-01-522","MAT","TROPICAL WORLD NURSERY-CONSTR.FIRST AID.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","90.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-523.MAT","10-01-523","MAT","TROPICAL WORLD NURSERY-CONSTR.SANITARY FACILITIES.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","175.33","318.86","1996.27","1661.81","1400.00","2800.00","500.00","1000.00","1600.00","600.00","1600.00","15575.00","1100.00","3750.00","2750.00","8400.00","3600.00","4050.00","1950.00","2363.58","2293.11","2061.29","1903.84","1692.60","1427.60"
"1000.10-01-531.MAT","10-01-531","MAT","TROPICAL WORLD NURSERY-CONSTR.COMPUTER SOFTWARE & LICENSING.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","56.28","137589.66","140.00","-285.94","65.00","-65.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-532.MAT","10-01-532","MAT","TROPICAL WORLD NURSERY-CONSTR.SMALL TOOLS.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","293.08","32.04","704.78","845.58","235.37","1351.98","1515.89","2138.18","1611.50","1650.35","332.40","2850.18","2896.58","2648.48","1656.06","1381.14","557.28","938.46","536.55","1117.75","967.53","961.26","815.86","733.34","0.00","0.00"
"1000.10-01-533.MAT","10-01-533","MAT","TROPICAL WORLD NURSERY-CONSTR.COMPUTER HARDWARE.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3689.86","117.69","22.57","1035.92","42.00","65.00","0.00","0.00","0.00","0.00","0.00","3000.00","465.90","165.00","165.00","0.00","47.84","0.00","20.89","37.50","48.33","59.16","69.99","80.83"
"1000.10-01-534.MAT","10-01-534","MAT","TROPICAL WORLD NURSERY-CONSTR.SITE STORAGE.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","955.85","310.21","165.85","165.85","165.85","0.00","0.00","165.85","0.00","0.00","165.85","165.85","0.00","0.00","0.00","0.00","165.08","0.00","0.00","414.75","414.75","0.00","0.00","0.00","0.00"
"1000.10-01-544.MAT","10-01-544","MAT","TROPICAL WORLD NURSERY-CONSTR.EQUIPMENT RENTAL.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1168.55","1086.05","818.55","1637.65","818.55","4128.30","5709.47","2656.15","4595.20","24622.02","7725.00","9383.49","8758.10","5248.33","1134.23","2684.23","3561.03","1038.90","1965.46","2555.11","1768.93","0.00","0.00","0.00"
"1000.10-01-552.MAT","10-01-552","MAT","TROPICAL WORLD NURSERY-CONSTR.JOB SIGN.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1037.20","853.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-565.MAT","10-01-565","MAT","TROPICAL WORLD NURSERY-CONSTR.ICE, CUPS & WATER COOLER.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","80.54","59.72","0.00","85.36","135.57","705.87","68.94","177.17","0.00","156.60","136.94","80.86","68.54","102.68","15.26","0.00","35.14","37.29","39.47","31.99","24.54","17.08"
"1000.10-01-568.MAT","10-01-568","MAT","TROPICAL WORLD NURSERY-CONSTR.SECURITY MEASURES.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6699.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-600.MAT","10-01-600","MAT","TROPICAL WORLD NURSERY-CONSTR.FIRE PROTECTION.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","219.83","0.00","0.00","5000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-612.MAT","10-01-612","MAT","TROPICAL WORLD NURSERY-CONSTR.JOBSITE CONSUMABLES.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","139.08","31.43","1309.43","432.12","738.89","492.32","2360.25","1958.14","1442.08","3712.73","4075.19","11125.34","740.70","942.22","891.28","946.88","836.31","574.47","477.64","0.00","456.93","443.30","398.49","368.05","327.22","275.98"
"1000.10-01-743.MAT","10-01-743","MAT","TROPICAL WORLD NURSERY-CONSTR.JANTITOR SUPPLIES.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","156.28","0.00","0.00","0.00","55.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
