"cost_code","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04","2026-05","2026-06","2026-07","2026-08","2026-09","2026-10","2026-11"
"10-01-315","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4112.57","7668.56","11058.60","11060.84","17516.71","16328.10","7820.43","7820.36","15506.31","7823.63","9780.90","9601.70","7824.72","9834.19","7829.62","7824.71","10083.01","19647.51","17882.02","24614.97","22435.57","23422.02","23353.18","15849.90"
"10-01-317","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3114.77","9384.07","11883.24","8954.80","9190.06","9001.80","14789.52","12895.43","13144.38","17383.52","12096.62","15362.32","12865.69","12462.43","15474.03","16930.58","17146.13","16460.74","19339.15","15257.21","21098.13","19265.11","20070.63","19996.65","14728.57"
"10-01-318","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12110.72","17349.23","32022.24","22617.70","17099.74","16274.19","20161.64","16385.44","16272.06","24173.17","16825.89","28982.44","33173.77","32989.94","36722.91","16299.91","8058.13","600.00","12522.61","16359.76","22903.65","21053.44","22008.04","22027.73","16901.73"
"10-01-340","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2200.00","1950.00","1950.00","1950.00","2925.00","1950.00","2568.75","1950.00","1950.00","2087.50","0.00","2500.00","3600.00","1950.00","2250.00","4125.00","0.00","0.00","6750.00","7015.58","7446.79","7877.99","6388.56","4899.14","3409.72"
"10-01-422","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-460","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","403.15","192.28","369.31","369.51","450.16","252.12","969.89","1762.47","4638.37","10478.82","6467.92","5846.07","6722.65","4298.95","4827.76","3367.04","2946.52","2461.26","1811.62","3013.62","4161.84","3790.97","3946.99","3927.39","2450.05"
"10-01-500","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1556.18","-200.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","233.55","0.00","0.00","1343.04","1343.05","0.00","0.00","0.00","0.00"
"10-01-505","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.61","19.28","0.00","0.00","0.00","0.00","37.54","24.78","23.94","0.00","0.00","31.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","44.93","42.46","40.00","37.54","0.00","0.00"
"10-01-513","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","51.64","424.45","1038.28","875.87","923.00","756.47","335.18","879.16","626.65","310.65","382.43","0.00","149.84","218.90","118.64","0.00","0.00","144.24","0.00","131.39","124.19","116.99","109.79","0.00","0.00"
"10-01-517","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.99","0.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","117.69","0.00","0.00","0.00","0.00","0.00","178.17","0.00","0.00","167.20","167.20","167.20","167.20","167.20","167.18"
"10-01-520","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","575.63","87.62","0.00","850.94","1141.83","49.22","0.00","114.60","0.00","299.55","296.08","30.36","276.59","739.62","239.49","322.71","198.48","310.00","203.55","189.18","174.81","160.44","146.08","131.71"
"10-01-521","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18449.11","4117.09","3481.51","3621.51","3647.36","8179.87","4196.51","3812.36","355.85","7269.70","6453.29","3837.36","6716.27","9497.49","2161.74","1996.66","2161.74","2427.99","3218.78","2671.58","0.00","0.00","0.00","0.00"
"10-01-522","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","90.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-523","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","175.33","318.86","1996.27","1661.81","1400.00","2800.00","500.00","1000.00","1600.00","600.00","1600.00","15575.00","1100.00","3750.00","2750.00","8400.00","3600.00","4050.00","1950.00","2363.58","2293.11","2061.29","1903.84","1692.60","1427.60"
"10-01-531","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","56.28","137589.66","140.00","-285.94","65.00","-65.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-532","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","293.08","32.04","704.78","845.58","235.37","1351.98","1515.89","2138.18","1611.50","1650.35","332.40","2850.18","2896.58","2648.48","1656.06","1381.14","557.28","938.46","536.55","1117.75","967.53","961.26","815.86","733.34","0.00","0.00"
"10-01-533","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3689.86","117.69","22.57","1035.92","42.00","65.00","0.00","0.00","0.00","0.00","0.00","3000.00","465.90","165.00","165.00","0.00","47.84","0.00","20.89","37.50","48.33","59.16","69.99","80.83"
"10-01-534","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","955.85","310.21","165.85","165.85","165.85","0.00","0.00","165.85","0.00","0.00","165.85","165.85","0.00","0.00","0.00","0.00","165.08","0.00","0.00","414.75","414.75","0.00","0.00","0.00","0.00"
"10-01-544","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1168.55","1086.05","818.55","1637.65","818.55","4128.30","5709.47","2656.15","4595.20","24622.02","7725.00","9383.49","8758.10","5248.33","1134.23","2684.23","3561.03","1038.90","1965.46","2555.11","1768.93","0.00","0.00","0.00"
"10-01-552","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1037.20","853.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-565","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","80.54","59.72","0.00","85.36","135.57","705.87","68.94","177.17","0.00","156.60","136.94","80.86","68.54","102.68","15.26","0.00","35.14","37.29","39.47","31.99","24.54","17.08"
"10-01-568","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6699.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-600","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","219.83","0.00","0.00","5000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-612","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","139.08","31.43","1309.43","432.12","738.89","492.32","2360.25","1958.14","1442.08","3712.73","4075.19","11125.34","740.70","942.22","891.28","946.88","836.31","574.47","477.64","0.00","456.93","443.30","398.49","368.05","327.22","275.98"
"10-01-743","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","156.28","0.00","0.00","0.00","55.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-870","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","750.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-871","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15-01-426","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4060.00","3308.50","0.00","3747.50","4770.00","1787.50","0.00","1625.00","0.00","1445.00","0.00","2910.00","907.50","6435.00","0.00","-3217.50","4244.34","7833.35","4988.00","2644.77","2644.77","2644.77"
"15-01-460","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","221.77","0.00","0.00","1174.52","0.00","0.00","258.78","0.00","403.22","0.00","0.00","0.00","0.00","0.00","297.24","0.00","0.00","108.57","238.70","135.53","50.57","50.57","50.58"
"15-01-515","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4922.00","0.00","0.00","1063.00","2803.49","2568.00","5510.85","669.44","5619.26","6818.62","2706.29","468.60","3923.45","2017.46","2948.79","4384.49","6660.95","4678.61","3440.16","3440.16","3291.29"
"15-01-530","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","605.91","0.00","5309.37","8350.11","5383.52","5530.40","7616.20","6275.61","7852.41","11847.16","10537.09","11974.73","11118.84","11034.95","13017.37","14513.84","11277.81","12829.52","11012.62","9991.20","8704.63","0.00"
"15-01-555","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15-01-560","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15-01-741","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","350.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24880.00","0.00","822.65","0.00","1233.98","3084.95","28843.29","36054.18","28843.29","21632.53","14421.66","0.00"
"15-01-743","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","630.64","101.25","298.28","0.00","0.00","0.00","0.00","0.00","1100.00","508.25","0.00","21292.85","15565.65","9126.23","411.33","0.00","0.00","0.00","0.00","187.60","913.52","2161.78","1278.07","575.70","719.63","863.56"
"15-01-744","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","205.60","171.92","0.00","0.00","291.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","156.22","343.47","195.02","72.76","72.76","72.78"
"15-01-745","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","423.10","2516.30","3866.40","8560.20","23331.40","23360.30","-10301.70","15311.00","11566.80","10250.60","9700.30","7976.00","7648.70","11732.10","18313.20","0.00","11442.14","17382.97","12209.68","8977.73","8977.73","8589.25"
"15-02-010","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","367200.00","243852.00","473932.00","354460.00","220031.00","216769.00","60695.00","146154.00","10933.14","209195.22","171995.39","146189.13","124070.68","101889.91","26587.50","50183.20","161253.03","79156.86","0.00","193661.11","160735.54","0.00","0.00","0.00","0.00"
"15-02-510","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","744.01","6103.76","2902.48","12283.84","4689.74","17603.80","5567.84","10301.89","8734.84","-798.76","2566.52","3852.00","6390.50","5769.00","1917.00","5751.00","3834.00","0.00","0.00","2057.78","3846.48","1805.01","1209.58","1209.58","1209.59"
"15-02-805","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","92749.50","0.00","24870.00","14400.00","0.00","0.00","0.00","2660.00","0.00","2660.68","296815.00","0.00","0.00","61250.00","0.00","0.00","156377.91","218929.07","156377.90","0.00","0.00","0.00"
"15-02-808","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","31500.01","30614.57","0.00","0.00","117445.53","64405.53","0.00","0.00","0.00","0.00"
"15-03-010","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","797868.90","1963650.00","2974158.42","2553800.00","923940.00","867435.95","0.00","0.00","3100.00","0.00","0.00","103617.72","0.00","0.00","88506.81","0.00","0.00","0.00","0.00","0.00"
"15-04-400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","49333.58","0.00","94601.42","0.00","39242.45","0.00","0.00","0.00","0.00","0.00"
"15-05-522","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","56904.00","0.00","0.00","0.00","0.00","27300.00","0.00","0.00","0.00","5745.00","0.00","7365.00","0.00","0.00","0.00","40350.00","19825.00","0.00","235293.00","0.00","0.00","0.00","0.00","0.00"
"15-05-910","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","177096.00","0.00","0.00","0.00","0.00","27300.00","10916.00","0.00","19261.00","40562.00","0.00","29135.00","24027.00","0.00","24027.00","38437.00","21454.00","0.00","33185.83","18309.39","0.00","0.00","0.00","0.00"
"15-06-100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5022.25","2012.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","708.75","1163.86","642.36","333.85","285.68","237.50"
"15-06-190","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","47874.79","47559.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15-06-200","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","55247.07","69570.33","55247.07","40923.81","0.00","0.00"
"15-06-220","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","156550.00","0.00","103200.00","83500.00","0.00","343250.00","123000.00","43800.00","-43800.00","229687.50","125957.50","0.00","0.00","0.00","0.00"
"15-06-270","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","88945.33","0.00","0.00","0.00","0.00","0.00","0.00","88945.33","0.00","0.00","18310.90","23804.21","16479.80","0.00","0.00","0.00"
"15-06-411","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15-06-414","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15-07-105","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3600.00","5400.00","0.00","0.00","2800.00","11900.00","37800.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29924.35","0.00","0.00","0.00","0.00","0.00"
"15-07-200","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","221774.50","157459.50","164461.75","118446.50","147739.15","24422.60","0.00","0.00","27188.14","0.00","0.00","0.00","0.00","0.00"
"15-07-590","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","725.00","0.00","0.00","0.00","0.00","0.00","0.00","51992.87","492488.24","410624.64","142642.92","0.00","35434.28","83388.80","168291.91","0.00","201439.42","111138.85","0.00","0.00","0.00","0.00"
"15-07-840","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","89600.00","0.00","0.00","5528.57","8374.48","2723.91","2723.91","2723.91","2723.93"
"15-08-250","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17630.60","28000.00","0.00","133195.00","0.00","0.00","0.00","33864.00","0.00","256853.82","359595.35","256853.83","0.00","0.00","0.00"
"15-08-450","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","487313.83","0.00","0.00","0.00","0.00","315482.43","434930.86","537703.45","199116.83","21669.97","37846.52","53347.41","0.00","1532.29","0.00","339821.21","187487.34","0.00","0.00","0.00","0.00"
"15-08-830","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","47282.17","0.00","0.00","0.00","0.00","0.00","26540.00","0.00","0.00","0.00","10614.48","13798.85","9553.04","0.00","0.00","0.00"
"15-09-180","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","90000.00","115000.00","30500.00","272500.00","238872.64","39500.00","0.00","431249.51","0.00","0.00","0.00","0.00","0.00"
"15-09-250","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","125000.00","320000.00","470000.00","419000.00","650000.00","123435.28","430000.00","70000.00","162500.00","359149.63","190000.00","0.00","216466.12","281405.96","194819.52","0.00","0.00","0.00"
"15-09-600","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12000.00","277784.60","173397.99","80157.89","66658.58","0.00","122132.40","57489.62","23512.75","72087.36","20647.17","0.00","771020.24","1079428.33","771020.24","0.00","0.00","0.00"
"15-09-910","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","77121.00","58606.00","110348.00","168060.00","0.00","152457.35","213440.29","152457.36","0.00","0.00","0.00"
