crosswalk_id,project_key,mapping_version,owner_sov_code,owner_cost_code_family,owner_scope_description,owner_description_match_rule,scope_relationship,coverage_type,comparison_level,allocation_required,allocation_method,allocation_percent_by_budget_code,covered_budget_code_key_patterns,covered_budget_code_keys,covered_budget_code_exclusion_patterns,covered_budget_code_exclusions,covered_procore_wbs_flat_code_patterns,covered_procore_wbs_flat_codes,covered_procore_wbs_flat_code_exclusion_patterns,covered_procore_wbs_flat_code_exclusions,covered_procore_or_budget_code_values,comparison_basis,confidence,approved_by,approved_date,notes
TROPICAL-OWNER-SOV-0014,tropical,2026-06-v1,15-06-100,15-06,Owner SOV code 15-06-100 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-06-100,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-06-100.MAT"": ""100.00""}",[],"[""1000.15-06-100.MAT""]",[],,[],"[""1000.15-06-100.MAT""]",[],,"[""1000.15-06-100.MAT""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-06-100.*; grouped under owner SOV code 15-06-100.
TROPICAL-OWNER-SOV-0015,tropical,2026-06-v1,15-06-190,15-06,Owner SOV code 15-06-190 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-06-190,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-06-190.SUB"": ""100.00""}",[],"[""1000.15-06-190.SUB""]",[],,[],"[""1000.15-06-190.SUB""]",[],,"[""1000.15-06-190.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-06-190.*; grouped under owner SOV code 15-06-190.
TROPICAL-OWNER-SOV-0016,tropical,2026-06-v1,15-06-200,15-06,Owner SOV code 15-06-200 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-06-200,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-06-200.SUB"": ""100.00""}",[],"[""1000.15-06-200.SUB""]",[],,[],"[""1000.15-06-200.SUB""]",[],,"[""1000.15-06-200.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-06-200.*; grouped under owner SOV code 15-06-200.
TROPICAL-OWNER-SOV-0017,tropical,2026-06-v1,15-06-220,15-06,Owner SOV code 15-06-220 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-06-220,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-06-220.SUB"": ""100.00""}",[],"[""1000.15-06-220.SUB""]",[],,[],"[""1000.15-06-220.SUB""]",[],,"[""1000.15-06-220.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-06-220.*; grouped under owner SOV code 15-06-220.
TROPICAL-OWNER-SOV-0018,tropical,2026-06-v1,15-06-270,15-06,Owner SOV code 15-06-270 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-06-270,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-06-270.SUB"": ""100.00""}",[],"[""1000.15-06-270.SUB""]",[],,[],"[""1000.15-06-270.SUB""]",[],,"[""1000.15-06-270.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-06-270.*; grouped under owner SOV code 15-06-270.
TROPICAL-OWNER-SOV-0019,tropical,2026-06-v1,15-06-411,15-06,Owner SOV code 15-06-411 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-06-411,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-06-411.SUB"": ""100.00""}",[],"[""1000.15-06-411.SUB""]",[],,[],[],[],,"[""1000.15-06-411.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-06-411.*; grouped under owner SOV code 15-06-411.
TROPICAL-OWNER-SOV-0020,tropical,2026-06-v1,15-06-414,15-06,Owner SOV code 15-06-414 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-06-414,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-06-414.SUB"": ""100.00""}",[],"[""1000.15-06-414.SUB""]",[],,[],[],[],,"[""1000.15-06-414.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-06-414.*; grouped under owner SOV code 15-06-414.
TROPICAL-OWNER-SOV-0021,tropical,2026-06-v1,15-07-105,15-07,Owner SOV code 15-07-105 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-07-105,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-07-105.SUB"": ""100.00""}",[],"[""1000.15-07-105.SUB""]",[],,[],"[""1000.15-07-105.SUB""]",[],,"[""1000.15-07-105.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-07-105.*; grouped under owner SOV code 15-07-105.
TROPICAL-OWNER-SOV-0022,tropical,2026-06-v1,15-07-200,15-07,Owner SOV code 15-07-200 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-07-200,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-07-200.SUB"": ""100.00""}",[],"[""1000.15-07-200.SUB""]",[],,[],"[""1000.15-07-200.SUB""]",[],,"[""1000.15-07-200.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-07-200.*; grouped under owner SOV code 15-07-200.
TROPICAL-OWNER-SOV-0023,tropical,2026-06-v1,15-07-590,15-07,Owner SOV code 15-07-590 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-07-590,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-07-590.SUB"": ""100.00""}",[],"[""1000.15-07-590.SUB""]",[],,[],"[""1000.15-07-590.SUB""]",[],,"[""1000.15-07-590.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-07-590.*; grouped under owner SOV code 15-07-590.
TROPICAL-OWNER-SOV-0024,tropical,2026-06-v1,15-07-840,15-07,Owner SOV code 15-07-840 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-07-840,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-07-840.SUB"": ""100.00""}",[],"[""1000.15-07-840.SUB""]",[],,[],"[""1000.15-07-840.SUB""]",[],,"[""1000.15-07-840.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-07-840.*; grouped under owner SOV code 15-07-840.
TROPICAL-OWNER-SOV-0025,tropical,2026-06-v1,15-08-250,15-08,Owner SOV code 15-08-250 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-08-250,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-08-250.SUB"": ""100.00""}",[],"[""1000.15-08-250.SUB""]",[],,[],"[""1000.15-08-250.SUB""]",[],,"[""1000.15-08-250.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-08-250.*; grouped under owner SOV code 15-08-250.
TROPICAL-OWNER-SOV-0026,tropical,2026-06-v1,15-08-450,15-08,Owner SOV code 15-08-450 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-08-450,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-08-450.SUB"": ""100.00""}",[],"[""1000.15-08-450.SUB""]",[],,[],"[""1000.15-08-450.SUB""]",[],,"[""1000.15-08-450.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-08-450.*; grouped under owner SOV code 15-08-450.
TROPICAL-OWNER-SOV-0027,tropical,2026-06-v1,15-08-830,15-08,Owner SOV code 15-08-830 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-08-830,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-08-830.SUB"": ""100.00""}",[],"[""1000.15-08-830.SUB""]",[],,[],"[""1000.15-08-830.SUB""]",[],,"[""1000.15-08-830.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-08-830.*; grouped under owner SOV code 15-08-830.
TROPICAL-OWNER-SOV-0028,tropical,2026-06-v1,15-09-180,15-09,Owner SOV code 15-09-180 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-09-180,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-09-180.SUB"": ""100.00""}",[],"[""1000.15-09-180.SUB""]",[],,[],"[""1000.15-09-180.SUB""]",[],,"[""1000.15-09-180.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-09-180.*; grouped under owner SOV code 15-09-180.
TROPICAL-OWNER-SOV-0029,tropical,2026-06-v1,15-09-250,15-09,Owner SOV code 15-09-250 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-09-250,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-09-250.SUB"": ""100.00""}",[],"[""1000.15-09-250.SUB""]",[],,[],"[""1000.15-09-250.SUB""]",[],,"[""1000.15-09-250.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-09-250.*; grouped under owner SOV code 15-09-250.
TROPICAL-OWNER-SOV-0030,tropical,2026-06-v1,15-09-600,15-09,Owner SOV code 15-09-600 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-09-600,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-09-600.SUB"": ""100.00""}",[],"[""1000.15-09-600.SUB""]",[],,[],"[""1000.15-09-600.SUB""]",[],,"[""1000.15-09-600.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-09-600.*; grouped under owner SOV code 15-09-600.
TROPICAL-OWNER-SOV-0031,tropical,2026-06-v1,15-09-910,15-09,Owner SOV code 15-09-910 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-09-910,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-09-910.SUB"": ""100.00""}",[],"[""1000.15-09-910.SUB""]",[],,[],"[""1000.15-09-910.SUB""]",[],,"[""1000.15-09-910.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-09-910.*; grouped under owner SOV code 15-09-910.
TROPICAL-OWNER-SOV-0032,tropical,2026-06-v1,15-10-185,15-10,Owner SOV code 15-10-185 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-10-185,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-10-185.SUB"": ""100.00""}",[],"[""1000.15-10-185.SUB""]",[],,[],"[""1000.15-10-185.SUB""]",[],,"[""1000.15-10-185.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-10-185.*; grouped under owner SOV code 15-10-185.
TROPICAL-OWNER-SOV-0033,tropical,2026-06-v1,15-10-205,15-10,Owner SOV code 15-10-205 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-10-205,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-10-205.SUB"": ""100.00""}",[],"[""1000.15-10-205.SUB""]",[],,[],"[""1000.15-10-205.SUB""]",[],,"[""1000.15-10-205.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-10-205.*; grouped under owner SOV code 15-10-205.
TROPICAL-OWNER-SOV-0034,tropical,2026-06-v1,15-10-310,15-10,Owner SOV code 15-10-310 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-10-310,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-10-310.SUB"": ""100.00""}",[],"[""1000.15-10-310.SUB""]",[],,[],[],[],,"[""1000.15-10-310.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-10-310.*; grouped under owner SOV code 15-10-310.
TROPICAL-OWNER-SOV-0035,tropical,2026-06-v1,15-10-312,15-10,Owner SOV code 15-10-312 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-10-312,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-10-312.SUB"": ""100.00""}",[],"[""1000.15-10-312.SUB""]",[],,[],"[""1000.15-10-312.SUB""]",[],,"[""1000.15-10-312.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-10-312.*; grouped under owner SOV code 15-10-312.
TROPICAL-OWNER-SOV-0036,tropical,2026-06-v1,15-10-440,15-10,Owner SOV code 15-10-440 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-10-440,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-10-440.SUB"": ""100.00""}",[],"[""1000.15-10-440.SUB""]",[],,[],[],[],,"[""1000.15-10-440.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-10-440.*; grouped under owner SOV code 15-10-440.
TROPICAL-OWNER-SOV-0037,tropical,2026-06-v1,15-10-550,15-10,Owner SOV code 15-10-550 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-10-550,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-10-550.SUB"": ""100.00""}",[],"[""1000.15-10-550.SUB""]",[],,[],"[""1000.15-10-550.SUB""]",[],,"[""1000.15-10-550.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-10-550.*; grouped under owner SOV code 15-10-550.
TROPICAL-OWNER-SOV-0038,tropical,2026-06-v1,15-11-400,15-11,Owner SOV code 15-11-400 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-11-400,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-11-400.SUB"": ""100.00""}",[],"[""1000.15-11-400.SUB""]",[],,[],"[""1000.15-11-400.SUB""]",[],,"[""1000.15-11-400.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-11-400.*; grouped under owner SOV code 15-11-400.
TROPICAL-OWNER-SOV-0039,tropical,2026-06-v1,15-11-450,15-11,Owner SOV code 15-11-450 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-11-450,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-11-450.SUB"": ""100.00""}",[],"[""1000.15-11-450.SUB""]",[],,[],[],[],,"[""1000.15-11-450.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-11-450.*; grouped under owner SOV code 15-11-450.
TROPICAL-OWNER-SOV-0040,tropical,2026-06-v1,15-12-300,15-12,Owner SOV code 15-12-300 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-12-300,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-12-300.SUB"": ""100.00""}",[],"[""1000.15-12-300.SUB""]",[],,[],"[""1000.15-12-300.SUB""]",[],,"[""1000.15-12-300.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-12-300.*; grouped under owner SOV code 15-12-300.
